ingredient_combo,recipe_count,avg_rating,median_rating,avg_rating_count,lower_rated_count,lower_rated_share,overall_avg_rating,overall_lower_rated_share,rating_difference_from_overall,lower_rated_share_difference_from_overall
egg + milk + unsweetened cocoa powder,16,4.225,4.2,461.56,11,0.6875,4.5442,0.1821,-0.3192,0.5054
all-purpose flour + salt + skim milk,12,4.15,4.1,152.17,7,0.5833,4.5442,0.1821,-0.3942,0.4012
onion + salt and pepper + stalks celery,11,4.3818,4.3,167.64,6,0.5455,4.5442,0.1821,-0.1624,0.3634
olive oil + tomato + water,13,4.3462,4.3,260.62,7,0.5385,4.5442,0.1821,-0.198,0.3564
garlic + tomato + water,17,4.3294,4.3,113.06,9,0.5294,4.5442,0.1821,-0.2148,0.3473
carrot + egg + onion,10,4.28,4.25,86.5,5,0.5,4.5442,0.1821,-0.2642,0.3179
applesauce + cinnamon + vanilla extract,12,4.2917,4.35,59.17,6,0.5,4.5442,0.1821,-0.2525,0.3179
ginger + nutmeg + water,10,4.32,4.35,1120.2,5,0.5,4.5442,0.1821,-0.2242,0.3179
baking powder + cream cheese + salt,10,4.34,4.35,840.5,5,0.5,4.5442,0.1821,-0.2042,0.3179
baking powder + cream cheese + vanilla extract,10,4.34,4.35,863.5,5,0.5,4.5442,0.1821,-0.2042,0.3179
all-purpose flour + egg white + water,10,4.35,4.45,426.2,5,0.5,4.5442,0.1821,-0.1942,0.3179
butter + milk + raisin,10,4.35,4.45,126.5,5,0.5,4.5442,0.1821,-0.1942,0.3179
all-purpose flour + salt and pepper + water,16,4.3688,4.35,272.88,8,0.5,4.5442,0.1821,-0.1754,0.3179
black pepper + butter + white sugar,10,4.37,4.35,243.7,5,0.5,4.5442,0.1821,-0.1742,0.3179
boiling water + salt + vegetable oil,10,4.37,4.35,902.6,5,0.5,4.5442,0.1821,-0.1742,0.3179
butter + salt + vegetable oil for frying,10,4.37,4.35,186.8,5,0.5,4.5442,0.1821,-0.1742,0.3179
egg + packed brown sugar + unsalted butter,12,4.375,4.4,1227.75,6,0.5,4.5442,0.1821,-0.1692,0.3179
brown sugar + dry mustard + salt,10,4.38,4.4,422.6,5,0.5,4.5442,0.1821,-0.1642,0.3179
confectioners' sugar + egg + unsweetened cocoa powder,10,4.38,4.4,1589.5,5,0.5,4.5442,0.1821,-0.1642,0.3179
14 ounce can sweetened condensed milk + egg + vanilla extract,10,4.39,4.35,281.8,5,0.5,4.5442,0.1821,-0.1542,0.3179
baking powder + lemon juice + milk,10,4.39,4.5,113.6,5,0.5,4.5442,0.1821,-0.1542,0.3179
pecan + salt + semisweet chocolate chip,12,4.3917,4.35,197.17,6,0.5,4.5442,0.1821,-0.1525,0.3179
lemon extract + salt + vanilla extract,10,4.4,4.45,146.3,5,0.5,4.5442,0.1821,-0.1442,0.3179
garlic + ginger root + turmeric,10,4.41,4.4,301.0,5,0.5,4.5442,0.1821,-0.1342,0.3179
baking powder + salt + vegetable oil for frying,14,4.4143,4.35,135.57,7,0.5,4.5442,0.1821,-0.1299,0.3179
clove + confectioners' sugar + ginger,10,4.43,4.35,157.5,5,0.5,4.5442,0.1821,-0.1142,0.3179
butter + egg + unsweetened cocoa powder,27,4.3407,4.4,890.63,13,0.4815,4.5442,0.1821,-0.2035,0.2994
baking powder + milk + unsweetened cocoa powder,19,4.3684,4.4,626.37,9,0.4737,4.5442,0.1821,-0.1758,0.2916
bay leaf + salt + water,17,4.3882,4.4,495.24,8,0.4706,4.5442,0.1821,-0.156,0.2885
milk + self-rising flour + white sugar,15,4.3733,4.4,219.93,7,0.4667,4.5442,0.1821,-0.1709,0.2846
all-purpose flour + milk + unsweetened cocoa powder,28,4.2929,4.4,708.61,13,0.4643,4.5442,0.1821,-0.2513,0.2822
cinnamon + egg + unsalted butter,13,4.3615,4.6,94.54,6,0.4615,4.5442,0.1821,-0.1827,0.2794
14 ounce can sweetened condensed milk + egg + white sugar,13,4.4,4.5,238.38,6,0.4615,4.5442,0.1821,-0.1442,0.2794
baking powder + cake flour + salt,13,4.4077,4.5,71.92,6,0.4615,4.5442,0.1821,-0.1365,0.2794
egg yolk + lemon juice + white sugar,11,4.3636,4.6,46.0,5,0.4545,4.5442,0.1821,-0.1806,0.2724
olive oil + salt and pepper + water,22,4.3773,4.4,381.91,10,0.4545,4.5442,0.1821,-0.1669,0.2724
baking powder + cinnamon + lemon juice,11,4.4091,4.7,468.27,5,0.4545,4.5442,0.1821,-0.1351,0.2724
garlic + onion + stalk celery,11,4.4091,4.4,94.73,5,0.4545,4.5442,0.1821,-0.1351,0.2724
butter + raisin + water,11,4.4273,4.5,134.18,5,0.4545,4.5442,0.1821,-0.1169,0.2724
