ingredient_combo,recipe_count,avg_rating,median_rating,avg_rating_count,lower_rated_count,lower_rated_share,overall_avg_rating,overall_lower_rated_share,rating_difference_from_overall,lower_rated_share_difference_from_overall
applesauce + cinnamon,21,4.3238,4.4,113.52,9,0.4286,4.5442,0.1821,-0.2204,0.2465
milk + self-rising flour,21,4.381,4.4,233.95,9,0.4286,4.5442,0.1821,-0.1632,0.2465
rolled oat + water,21,4.4143,4.5,146.71,9,0.4286,4.5442,0.1821,-0.1299,0.2465
paprika + salt and pepper,26,4.3885,4.4,513.5,11,0.4231,4.5442,0.1821,-0.1557,0.241
egg + unsweetened cocoa powder,54,4.3815,4.5,692.35,22,0.4074,4.5442,0.1821,-0.1627,0.2253
milk + unsweetened cocoa powder,55,4.3673,4.5,579.24,22,0.4,4.5442,0.1821,-0.1769,0.2179
salt and pepper + water,78,4.4064,4.4,311.33,31,0.3974,4.5442,0.1821,-0.1378,0.2153
egg + onion powder,23,4.3609,4.4,306.43,9,0.3913,4.5442,0.1821,-0.1833,0.2092
paprika + parsley,21,4.4524,4.4,296.14,8,0.381,4.5442,0.1821,-0.0918,0.1989
tomato + water,29,4.4345,4.4,163.38,11,0.3793,4.5442,0.1821,-0.1097,0.1972
milk + shortening,48,4.4146,4.5,372.92,18,0.375,4.5442,0.1821,-0.1296,0.1929
egg + paprika,27,4.4407,4.5,473.56,10,0.3704,4.5442,0.1821,-0.1035,0.1883
salt and pepper + stalks celery,27,4.4444,4.5,214.89,10,0.3704,4.5442,0.1821,-0.0998,0.1883
uncooked white rice + water,38,4.2974,4.4,278.24,14,0.3684,4.5442,0.1821,-0.2468,0.1863
water + whole wheat flour,22,4.3955,4.45,139.55,8,0.3636,4.5442,0.1821,-0.1487,0.1815
mozzarella cheese + salt and pepper,22,4.4091,4.45,336.32,8,0.3636,4.5442,0.1821,-0.1351,0.1815
cream cheese + egg,22,4.4818,4.5,388.77,8,0.3636,4.5442,0.1821,-0.0624,0.1815
lemon juice + milk,36,4.4222,4.6,318.53,13,0.3611,4.5442,0.1821,-0.122,0.179
10.75 ounce can condensed cream of mushroom soup + onion,28,4.4,4.4,410.5,10,0.3571,4.5442,0.1821,-0.1442,0.175
cheddar cheese + vegetable oil,31,4.3968,4.4,344.0,11,0.3548,4.5442,0.1821,-0.1474,0.1727
egg + salt and pepper,65,4.4446,4.5,451.66,23,0.3538,4.5442,0.1821,-0.0996,0.1717
cheddar cheese + cumin,23,4.4261,4.6,313.7,8,0.3478,4.5442,0.1821,-0.1181,0.1657
baking powder + unsweetened cocoa powder,49,4.4429,4.5,819.35,17,0.3469,4.5442,0.1821,-0.1013,0.1648
salt and pepper + vegetable oil,52,4.375,4.45,380.54,18,0.3462,4.5442,0.1821,-0.1692,0.1641
boiling water + vanilla extract,26,4.4615,4.6,435.38,9,0.3462,4.5442,0.1821,-0.0827,0.1641
olive oil + vegetable broth,29,4.4103,4.4,76.03,10,0.3448,4.5442,0.1821,-0.1339,0.1627
shortening + water,35,4.4429,4.5,198.86,12,0.3429,4.5442,0.1821,-0.1013,0.1608
cheddar cheese + salt and pepper,39,4.3897,4.4,463.95,13,0.3333,4.5442,0.1821,-0.1545,0.1512
egg + peanut butter,36,4.3972,4.4,539.72,12,0.3333,4.5442,0.1821,-0.147,0.1512
butter + unsweetened cocoa powder,63,4.4063,4.5,585.83,21,0.3333,4.5442,0.1821,-0.1379,0.1512
