bin,mean_predicted_probability,observed_positive_rate,rank,target,feature_set,model,min_rating_count_filter
1,0.040547327339850565,0.02702702702702703,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
2,0.07771197109911088,0.10135135135135136,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
3,0.11189582364986071,0.13513513513513514,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
4,0.15469876958711729,0.20270270270270271,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
5,0.19780841570448232,0.22972972972972974,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
6,0.24938893207424395,0.2635135135135135,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
7,0.31418264919036143,0.3581081081081081,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
8,0.39729561052612355,0.3918918918918919,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
9,0.5130437811886942,0.5472972972972973,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
10,0.6953338473229795,0.6486486486486487,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
1,0.039162701983759936,0.033783783783783786,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
2,0.0765584613372748,0.10810810810810811,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
3,0.11373862755056974,0.12837837837837837,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
4,0.15516096222642306,0.18243243243243243,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
5,0.20029859486463908,0.25,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
6,0.25113903519672315,0.2905405405405405,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
7,0.31318490690476186,0.2905405405405405,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
8,0.40466005053069143,0.4391891891891892,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
9,0.5206210156147545,0.49324324324324326,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
10,0.6998481134305129,0.6891891891891891,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
1,0.038928001024131034,0.04054054054054054,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
2,0.07720068930270704,0.10810810810810811,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
3,0.1149433891515474,0.14864864864864866,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
4,0.15331425386908892,0.18243243243243243,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
5,0.19757664243917208,0.21621621621621623,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
6,0.2495056428015232,0.23648648648648649,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
7,0.3115373030304909,0.3108108108108108,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
8,0.4060175662507882,0.46621621621621623,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
9,0.5118302988844949,0.49324324324324326,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
10,0.6975752868362375,0.7027027027027027,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
