target,feature_set,model,min_rating_count_filter,n_obs_mean,positive_class_share_mean,pr_auc_mean,pr_auc_std,precision_at_10_mean,precision_at_10_std,lift_at_10_mean,lift_at_10_std,tuned_f1_mean,tuned_f1_std
low_rating_bottom20_raw,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,0,2704.0,0.22241124260355027,0.4398857413211953,0.01838103678559682,0.5239852398523985,0.037991255132793354,2.3547886618450633,0.14800794938843087,0.40913571479407784,0.013677610712813497
low_rating_bottom20_raw,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25,1480.0,0.16905405405405405,0.44682844453474574,0.028621432888743067,0.5297297297297298,0.04744186400416749,3.1342900353636205,0.2493485746044618,0.39601570108995576,0.0319507290571304
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,0,2704.0,0.29770710059171596,0.5500532222572883,0.02878998661261832,0.6708487084870849,0.040707646850248295,2.2527745469859797,0.12058036888820213,0.5255765499639896,0.012032175635789764
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25,1480.0,0.2913513513513514,0.5900163364903975,0.010294835957656328,0.6945945945945946,0.021043799327564124,2.384474630454214,0.08549993781771796,0.5272224970489295,0.011288344751269865
low_rating_bottom30_bayes_global_m25,content_quantity_plus_reliability,XGBoostClassifier,0,2704.0,0.2970414201183432,0.5220455981213048,0.011232223692650922,0.6346863468634687,0.0254318242658491,2.1370123546383684,0.09028654841450419,0.5015917464031698,0.014403924473600014
low_rating_bottom30_bayes_global_m25,content_plus_reliability,XGBoostClassifier,25,1480.0,0.31324324324324326,0.5769362595272334,0.015843879001395795,0.6891891891891893,0.035432731357099706,2.199718726431839,0.09610357062761245,0.5298295433654332,0.011599923441552633
low_rating_bottom30_category_relative,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,0,2704.0,0.31494082840236687,0.5236576841103594,0.0165405653695243,0.6214022140221402,0.027932385044687178,1.9732206706936288,0.09133524325576135,0.49048502647181713,0.021361766620361867
low_rating_bottom30_category_relative,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25,1480.0,0.28135135135135136,0.5559370859989736,0.015051528239387652,0.6662162162162162,0.03118373178166035,2.3679526475051125,0.11063462790054582,0.49301526573331556,0.01729121703183988
low_rating_bottom30_raw,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,0,2704.0,0.3021449704142012,0.5259664671446627,0.019266008461096155,0.6250922509225092,0.02510852521948933,2.0688487717190513,0.08310092067747761,0.5015918206452421,0.02883497989304684
low_rating_bottom30_raw,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25,1480.0,0.2641891891891892,0.5604710872157466,0.016954703550878848,0.6432432432432432,0.01934840684226533,2.434782608695652,0.07323693638504533,0.49770859419743047,0.022326807524040933
