comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,LogisticRegressionBalanced,0,0.3695792068798972,0.41336220314732797,0.04378299626743076,0.03542435424354251,0.15922542026782782
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,LogisticRegression,0,0.36971613580519147,0.4131885613664933,0.04347242556130182,0.04132841328413284,0.18540477615123052
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,LogisticRegression,0,0.37065028933952954,0.4141172219294866,0.04346693258995704,0.040590405904059046,0.18193204474590674
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,LogisticRegressionBalanced,0,0.3688513355634223,0.41229789492443086,0.04344655936100855,0.0354243542435424,0.1588167461507255
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,LogisticRegressionBalanced,0,0.3704137486940787,0.4131798139971553,0.042766065303076584,0.03321033210332097,0.14901023621678133
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,LogisticRegression,0,0.37088663754278384,0.4135424936366416,0.04265585609385775,0.04132841328413284,0.18551339903764275
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,HistGradientBoostingClassifier,0,0.3902057041281708,0.4314536885749708,0.0412479844468,0.03837638376383756,0.17096059516514606
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,XGBoostClassifier,0,0.4007130326702679,0.4398857413211953,0.03917270865092737,0.034686346863468664,0.15537192966902724
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,LogisticRegression,25,0.38598413471090753,0.4246007417189019,0.03861660700799435,0.028378378378378366,0.16461883581655412
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,XGBoostClassifier,0,0.39802009176749714,0.4363520225494402,0.03833193078194308,0.03763837638376394,0.1697216139420732
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,HistGradientBoostingClassifier,0,0.39142380756334144,0.42896267123059284,0.0375388636672514,0.02287822878228779,0.10359792657363709
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,LogisticRegressionBalanced,25,0.37837697467378384,0.41532379016198717,0.03694681548820333,0.02837837837837831,0.16845883380215776
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,HistGradientBoostingClassifier,25,0.40677135789201435,0.44323548401706014,0.03646412612504579,0.04324324324324319,0.2532008655470972
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,LogisticRegression,25,0.38263207962998613,0.4185694894424274,0.03593740981244126,0.02027027027027023,0.11810369152127143
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,HistGradientBoostingClassifier,25,0.5423045590151625,0.5781223353300747,0.03581777631491223,0.043243243243243246,0.14852358202160554
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,LogisticRegressionBalanced,25,0.3712460980804824,0.40669570620490775,0.035449608124425325,0.035135135135135165,0.20731481602651325
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,LogisticRegressionBalanced,25,0.37258050567423834,0.4076897274090384,0.03510922173480008,0.03918918918918912,0.23364298136720407
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,LogisticRegression,25,0.38135381327221485,0.41638679284580354,0.035032979573588696,0.037837837837837784,0.22210595356983198
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,XGBoostClassifier,0,0.4024259905310589,0.4373520687746974,0.034926078243638525,0.03911439114391141,0.17585788139068903
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,HistGradientBoostingClassifier,0,0.39267067594711796,0.4271712418743613,0.03450056592724332,0.0361623616236163,0.1625831177474355
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,HistGradientBoostingClassifier,25,0.40682531847212616,0.43955842071559514,0.03273310224346898,0.02432432432432441,0.14723317880888853
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,HistGradientBoostingClassifier,25,0.5098281323515799,0.5422607973212942,0.03243266496971431,0.025675675675675635,0.09718670076726355
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,HistGradientBoostingClassifier,25,0.513000496603933,0.5448871085917535,0.0318866119878205,0.024324324324324298,0.09207161125319718
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,XGBoostClassifier,25,0.558313380850682,0.5900163364903975,0.03170295563971548,0.043243243243243246,0.14843852626507292
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,XGBoostClassifier,25,0.5247593039103379,0.5559370859989736,0.031177782088635753,0.037837837837837784,0.13444595021070427
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,XGBoostClassifier,25,0.4148668889609187,0.4455468812949577,0.030679992334038952,-0.004054054054054124,-0.027068866802706815
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,XGBoostClassifier,25,0.5300985632686634,0.5604710872157466,0.03037252394708312,0.020270270270270285,0.07672634271099721
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,XGBoostClassifier,25,0.5258619669823069,0.5556078495434911,0.029745882561184156,0.02837837837837842,0.10741687979539671
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,LogisticRegressionBalanced,25,0.5019543346623593,0.5312660410707621,0.02931170640840286,0.03378378378378377,0.12787723785166216
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,ExtraTreesClassifier,0,0.39362595027168,0.42291453225475883,0.02928858198307882,0.016236162361623674,0.07268570983972467
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,HistGradientBoostingClassifier,25,0.5188310961551293,0.5478417325315417,0.029010636376412324,0.03513513513513511,0.1250607629959113
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,HistGradientBoostingClassifier,25,0.5192499500933812,0.5478868352729258,0.028636885179544658,0.0418918918918918,0.1489383696492239
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,LogisticRegressionBalanced,25,0.4981943442229553,0.526561357858332,0.028367013635376748,0.04459459459459458,0.1687979539641944
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,LogisticRegressionBalanced,25,0.4977531332482587,0.5259453490661278,0.02819221581786907,0.036486486486486336,0.13810741687979533
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegression,25,0.5440687194037136,0.5722033090154781,0.028134589611764516,0.032432432432432434,0.11157368952017954
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,LogisticRegression,25,0.5048740805960128,0.5326690878661033,0.027795007270090544,0.024324324324324187,0.09207161125319718
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegressionBalanced,25,0.541669085054853,0.5692752866053128,0.027606201550459786,0.03513513513513511,0.12031399855189262
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,LogisticRegression,25,0.50176439930084,0.5291704280969514,0.027406028796111315,0.03513513513513511,0.13299232736572897
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,HistGradientBoostingClassifier,25,0.5135944568668045,0.5409925975934377,0.027398140726633158,0.012162162162162149,0.04603580562659859
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,LogisticRegressionBalanced,25,0.5099693333722171,0.5371859394838016,0.027216606111584496,0.031081081081081097,0.11062626957428279
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,LogisticRegression,25,0.5012309290300279,0.5283542294008845,0.02712330037085664,0.03918918918918923,0.1483375959079285
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,LogisticRegression,25,0.5121868766725013,0.5392744499147117,0.02708757324221045,0.03378378378378377,0.12020689777425897
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,XGBoostClassifier,25,0.5570605769704068,0.5839782709744812,0.0269176940040744,0.055405405405405506,0.19034420893775517
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,HistGradientBoostingClassifier,25,0.5470483982592809,0.57391396991855,0.026865571659269172,0.03648648648648645,0.12593434408386317
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,HistGradientBoostingClassifier,25,0.4097185430430773,0.43655744483873293,0.026838901795655623,0.024324324324324298,0.1476259498737691
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,LogisticRegression,25,0.5087017074109681,0.5354955500157056,0.026793842604737494,0.031081081081080986,0.11053291795959153
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegressionBalanced,25,0.5394811785803784,0.5661545129220532,0.026673334341674848,0.032432432432432434,0.11126972803508028
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegression,25,0.5423062027125278,0.5689424220944187,0.02663621938189087,0.03513513513513522,0.12056226486525645
