seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
11,continuous_base_rating,content_only_core,DummyRegressor,0,2704,0.4126741212889142,0.278460816055796,-1.752065936866387e-05,,
11,continuous_base_rating,content_only_core,Ridge,0,2704,0.4032001848314973,0.2653686895917431,0.04537108720891048,0.296280024247321,0.24295520717501637
11,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,0,2704,0.4015259658434537,0.2623321286618632,0.05328249036678068,0.2790058127883994,0.23382163644368842
11,continuous_bayes_global_m25,content_only_core,DummyRegressor,0,2704,0.14877674364980104,0.1065308004729343,-0.0007505450069309472,,
11,continuous_bayes_global_m25,content_only_core,Ridge,0,2704,0.13550088211611439,0.09925743130828521,0.16988171040833555,0.3993489634718165,0.4208358860730957
11,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,0,2704,0.1330369898672501,0.0954944479284406,0.19979629606988158,0.41798000086865705,0.4486515906325502
11,continuous_category_residual,content_only_core,DummyRegressor,0,2704,0.41089662808710453,0.2760459657560077,-6.238122914226096e-06,,3.2775261353142333e-17
11,continuous_category_residual,content_only_core,Ridge,0,2704,0.403200147378789,0.2653687368571631,0.03710502823501549,0.27853942730433084,0.22706390564180814
11,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,0,2704,0.39915289624083383,0.26108077342397856,0.0563387448383279,0.2843690645335189,0.23887652513708887
22,continuous_base_rating,content_only_core,DummyRegressor,0,2704,0.3866809422938481,0.27580806828704474,-0.0001091111385740362,,-4.659518979651758e-16
22,continuous_base_rating,content_only_core,Ridge,0,2704,0.37364980484272015,0.2603611111868449,0.06616237753068721,0.31448004594045803,0.2780540188248179
22,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,0,2704,0.373774149750234,0.26028166552375254,0.06554074051962511,0.28385560358174283,0.2568024765200301
22,continuous_bayes_global_m25,content_only_core,DummyRegressor,0,2704,0.1499195829705524,0.10598126212184916,-0.0002417217218657619,,
22,continuous_bayes_global_m25,content_only_core,Ridge,0,2704,0.13699046906157622,0.10005795189301414,0.16484143342638846,0.3923488483040481,0.41595242313959185
22,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,0,2704,0.13423791830760196,0.09528438099914205,0.19806595318683684,0.41753515290142806,0.44718043088194104
22,continuous_category_residual,content_only_core,DummyRegressor,0,2704,0.38512067437123737,0.27439674637537675,-0.00010408532443584306,,-3.1985310020657635e-18
22,continuous_category_residual,content_only_core,Ridge,0,2704,0.3736498993127461,0.2603613986788605,0.05858465361024512,0.30559706713664,0.2634061524357848
22,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,0,2704,0.374458193662408,0.2621895341615054,0.05450723378383071,0.26670009254767335,0.23445301415893222
33,continuous_base_rating,content_only_core,DummyRegressor,0,2704,0.42543437749401336,0.28556021744412846,-8.84180619609154e-06,,
33,continuous_base_rating,content_only_core,Ridge,0,2704,0.4136295351966666,0.27343080553097204,0.054717184093573734,0.28775815836859936,0.2560715736406394
33,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,0,2704,0.4137926778753919,0.27342610732737194,0.05397136509205391,0.26356421788966067,0.2396515835797554
33,continuous_bayes_global_m25,content_only_core,DummyRegressor,0,2704,0.14859526734266099,0.10674213659167908,-7.397072552484119e-05,,4.024345853795075e-15
33,continuous_bayes_global_m25,content_only_core,Ridge,0,2704,0.13576329978258028,0.1014387299366648,0.16519135303266097,0.37610141205559283,0.4182662670663754
