target,feature_set,model,subgroup,n_obs,positive_class_share,pr_auc,roc_auc,precision_at_10,lift_at_10,note
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,appetizer,93,0.25806451612903225,0.5764094271837013,0.7711352657004831,0.7,2.7125,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,breakfast,136,0.22794117647058823,0.38953178848584114,0.7099846390168971,0.35714285714285715,1.566820276497696,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,dessert,317,0.3943217665615142,0.6616905536332225,0.7508750000000001,0.75,1.9020000000000001,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,dinner,618,0.3058252427184466,0.6107237331250365,0.7656540989874323,0.7096774193548387,2.3205325140809014,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,lunch,59,0.3389830508474576,0.6716879872931973,0.7564102564102564,0.8333333333333334,2.4583333333333335,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,appetizer,93,0.25806451612903225,0.556454920838298,0.7741545893719807,0.5,1.9375,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,breakfast,136,0.22794117647058823,0.4290291530603319,0.7210445468509985,0.5,2.193548387096774,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,dessert,317,0.3943217665615142,0.6475950816010532,0.7409583333333333,0.8125,2.0605,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,dinner,618,0.3058252427184466,0.6117329289751723,0.7659870993204327,0.7258064516129032,2.3732718894009217,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,lunch,59,0.3389830508474576,0.6811206988087131,0.7666666666666666,0.8333333333333334,2.4583333333333335,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,appetizer,93,0.25806451612903225,0.6229334204028086,0.7524154589371981,0.7,2.7125,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,breakfast,136,0.22794117647058823,0.4020533713733223,0.7373271889400922,0.42857142857142855,1.8801843317972349,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,dessert,317,0.3943217665615142,0.6550931488830289,0.7407916666666666,0.75,1.9020000000000001,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,dinner,618,0.3058252427184466,0.6150532833137001,0.7667271000604333,0.7741935483870968,2.5314900153609834,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,lunch,59,0.3389830508474576,0.7035295318296466,0.7756410256410257,1.0,2.95,
