target,feature_set,model,subgroup,n_obs,positive_class_share,pr_auc,roc_auc,precision_at_10,lift_at_10,note
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,american,700,0.2642857142857143,0.5130248601438591,0.7430175806874837,0.6,2.27027027027027,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,italian inspired,69,0.21739130434782608,0.47485334913697197,0.7506172839506172,0.42857142857142855,1.9714285714285713,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,mexican inspired,55,0.38181818181818183,0.7374506885520897,0.7899159663865547,0.8333333333333334,2.1825396825396823,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,u.s.,51,0.21568627450980393,0.6522865532971126,0.8136363636363636,0.6666666666666666,3.0909090909090904,
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,unknown,222,0.47297297297297297,0.71706215985226,0.7295889295889296,0.9130434782608695,1.9304347826086956,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,american,700,0.2642857142857143,0.5382747066522833,0.7429860928890055,0.6714285714285714,2.5405405405405403,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,italian inspired,69,0.21739130434782608,0.4941169718882897,0.7530864197530864,0.42857142857142855,1.9714285714285713,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,mexican inspired,55,0.38181818181818183,0.6977138968857397,0.757703081232493,0.6666666666666666,1.7460317460317458,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,u.s.,51,0.21568627450980393,0.5852484472049689,0.8022727272727272,0.5,2.318181818181818,
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,unknown,222,0.47297297297297297,0.678674796826674,0.6996336996336997,0.7391304347826086,1.5627329192546582,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,american,700,0.2642857142857143,0.5338517835307158,0.7371188664392547,0.6714285714285714,2.5405405405405403,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,italian inspired,69,0.21739130434782608,0.512310459122434,0.7555555555555555,0.7142857142857143,3.285714285714286,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,mexican inspired,55,0.38181818181818183,0.676371581166241,0.7647058823529411,0.6666666666666666,1.7460317460317458,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,u.s.,51,0.21568627450980393,0.6375972945298929,0.8136363636363636,0.5,2.318181818181818,
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,unknown,222,0.47297297297297297,0.7178734665516806,0.721937321937322,0.9130434782608695,1.9304347826086956,
