threshold,flagged_share,precision,recall,f1,rank,target,feature_set,model,min_rating_count_filter
0.05,0.927027027027027,0.3119533527696793,0.9953488372093023,0.4750277469478357,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.1,0.7851351351351351,0.3528399311531842,0.9534883720930233,0.5150753768844221,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.15,0.6635135135135135,0.3869653767820774,0.8837209302325582,0.5382436260623229,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.2,0.543918918918919,0.4248447204968944,0.7953488372093023,0.5538461538461539,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.25,0.45,0.45795795795795796,0.7093023255813954,0.5565693430656934,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.3,0.37094594594594593,0.49544626593806923,0.6325581395348837,0.5556690500510725,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.35,0.2959459459459459,0.5296803652968036,0.5395348837209303,0.5345622119815668,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.4,0.25067567567567567,0.5714285714285714,0.4930232558139535,0.529338327091136,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.45,0.1966216216216216,0.6013745704467354,0.4069767441860465,0.4854368932038835,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.5,0.15675675675675677,0.6379310344827587,0.34418604651162793,0.4471299093655589,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.55,0.12567567567567567,0.6559139784946236,0.2837209302325581,0.3961038961038961,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.6,0.09324324324324325,0.6666666666666666,0.21395348837209302,0.323943661971831,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.65,0.06621621621621622,0.7142857142857143,0.16279069767441862,0.26515151515151514,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.7,0.041891891891891894,0.7903225806451613,0.11395348837209303,0.1991869918699187,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
0.75,0.021621621621621623,0.9375,0.06976744186046512,0.12987012987012986,1,low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25
